Designator,Mid X,Mid Y,Rotation,Layer
SW64,233.4575,29.3,0.0,top
SW65,122.25592553282974,126.65427869241793,173.0,top
SW66,163.415692,54.711467,301.0,top
SW69,142.9746,54.070744,59.0,top
SW7,28.4575,100.7,0.0,top
SW70,186.10375746717025,126.80562469241794,187.0,top
SW8,46.4575,105.8,0.0,top
SW9,64.4575,110.9,0.0,top
U1,140.0,108.5,270.0,bottom
U10,175.095505,118.076488,230.0,bottom
U2,163.75,104.5,270.0,bottom
U3,128.8075,89.5375,270.0,bottom
U4,178.184411,90.034278,90.0,bottom
U5,135.0,115.8,310.0,bottom
U6,163.75,111.0,270.0,bottom
U7,128.8075,89.5375,90.0,top
U8,177.952,89.50001,90.0,top
USBC1,138.209783,124.420771,187.0,bottom
USBC2,168.598743,124.576104,173.0,bottom
USBC3,134.320971,43.606155,301.0,bottom
USBC4,170.639841,46.763749,59.0,bottom
Y1,140.0,90.4,180.0,bottom
Y2,166.6,90.4,0.0,bottom
